rm,fsz,tipus,napelemszam,mfbMuszak,nettoListaar,mfbAR,tuzeseti,szezonalis
2.95,1,Growatt 2500 MTL-S,10,Igen,1792699,Igen,1,10
3.245,1,Growatt 2500 MTL-S,11,Nem,1960259,Igen,1,10
2.36,1,Growatt 3000 MTL-S,8,Nem,1688172,Nem,1,10
2.655,1,Growatt 3000 MTL-S,9,Igen,1765543,Nem,1,10
2.95,1,Growatt 3000 MTL-S,10,Igen,1808618,Igen,1,10
2.95,1,Growatt 3600 MTL-S,10,Igen,1840456,Igen,1,10
3.245,1,Growatt 3600 MTL-S,11,Igen,2008017,Igen,1,10
3.54,1,Growatt 3600 MTL-S,12,Igen,2051092,Igen,1,10
2.95,1,Growatt 4200 MTL-S,10,Nem,1860355,Nem,1,10
3.245,1,Growatt 4200 MTL-S,11,Nem,2027916,Igen,1,10
3.54,1,Growatt 4200 MTL-S,12,Igen,2070991,Igen,1,10
3.835,1,Growatt 4200 MTL-S,13,Igen,2143106,Igen,1,10
4.13,1,Growatt 4200 MTL-S,14,Igen,2186181,Igen,1,10
2.95,1,Growatt 5000 MTL-S,10,Nem,1871554,Nem,1,10
3.245,1,Growatt 5000 MTL-S,11,Nem,2039114,Nem,1,10
3.54,1,Growatt 5000 MTL-S,12,Nem,2082190,Igen,1,10
3.835,1,Growatt 5000 MTL-S,13,Igen,2154305,Igen,1,10
4.13,1,Growatt 5000 MTL-S,14,Igen,2197380,Igen,1,10
4.425,1,Growatt 5000 MTL-S,15,Igen,2321151,Igen,1,10
4.72,1,Growatt 5000 MTL-S,16,Igen,2364226,Igen,1,10
5.015,1,Growatt 5000 MTL-S,17,Igen,2476938,Igen,1,10
2.95,1,Growatt 5500 MTL-S,10,Nem,1899475,Nem,1,10
3.245,1,Growatt 5500 MTL-S,11,Nem,2067036,Nem,1,10
3.54,1,Growatt 5500 MTL-S,12,Nem,2110111,Igen,1,10
3.835,1,Growatt 5500 MTL-S,13,Nem,2182226,Igen,1,10
4.13,1,Growatt 5500 MTL-S,14,Igen,2225301,Igen,1,10
4.425,1,Growatt 5500 MTL-S,15,Igen,2349073,Igen,1,10
4.72,1,Growatt 5500 MTL-S,16,Igen,2392148,Igen,1,10
5.015,1,Growatt 5500 MTL-S,17,Igen,2504859,Igen,1,10
5.31,1,Growatt 5500 MTL-S,18,Igen,2547934,Igen,1,10
5.605,1,Growatt 5500 MTL-S,19,Igen,2687263,Igen,1,10
4.72,3,Growatt 5000 TL3-S,16,Igen,2470569,Igen,1,10
5.015,3,Growatt 5000 TL3-S,17,Igen,2583280,Igen,1,10
5.31,3,Growatt 5000 TL3-S,18,Igen,2626355,Igen,1,10
4.72,3,Growatt 6000 TL3-S,16,Nem,2491831,Igen,1,10
5.015,3,Growatt 6000 TL3-S,17,Igen,2604543,Igen,1,10
5.31,3,Growatt 6000 TL3-S,18,Igen,2647618,Igen,1,10
5.605,3,Growatt 6000 TL3-S,19,Igen,2786946,Igen,1,10
5.9,3,Growatt 6000 TL3-S,20,Igen,2830021,Igen,1,10
6.195,3,Growatt 6000 TL3-S,21,Igen,2943363,Igen,1,10
6.49,3,Growatt 6000 TL3-S,22,Igen,2986438,Igen,1,10
5.9,3,Growatt 7000 TL3-S,20,Igen,2921694,Igen,1,10
6.195,3,Growatt 7000 TL3-S,21,Igen,3035036,Igen,1,10
6.49,3,Growatt 7000 TL3-S,22,Igen,3078111,Igen,1,10
6.785,3,Growatt 7000 TL3-S,23,Igen,3159159,Igen,1,10
7.08,3,Growatt 7000 TL3-S,24,Igen,3202234,Igen,1,10
7.375,3,Growatt 7000 TL3-S,25,Igen,3346730,Igen,1,10
7.67,3,Growatt 7000 TL3-S,26,Igen,3389805,Igen,1,10
7.08,3,Growatt 8000 TL3-S,24,Igen,3228188,Igen,1,10
7.375,3,Growatt 8000 TL3-S,25,Igen,3372685,Igen,1,10
7.67,3,Growatt 8000 TL3-S,26,Igen,3415760,Igen,1,10
7.965,3,Growatt 8000 TL3-S,27,Igen,3519427,Igen,1,10
8.26,3,Growatt 8000 TL3-S,28,Igen,3562502,Igen,1,10
8.555,3,Growatt 8000 TL3-S,29,Igen,3644226,Igen,1,10
7.965,3,Growatt 9000 TL3-S,27,Igen,3552932,Igen,1,10
8.26,3,Growatt 9000 TL3-S,28,Igen,3596007,Igen,1,10
8.555,3,Growatt 9000 TL3-S,29,Igen,3677731,Igen,1,10
8.85,3,Growatt 9000 TL3-S,30,Igen,3720806,Igen,1,10
9.145,3,Growatt 9000 TL3-S,31,Igen,3941851,Igen,1,10
9.44,3,Growatt 9000 TL3-S,32,Igen,3984926,Igen,1,10
9.735,3,Growatt 9000 TL3-S,33,Igen,4140147,Igen,1,10
8.85,3,Growatt 10000 TL3-S,30,Igen,3719673,Igen,1,10
9.145,3,Growatt 10000 TL3-S,31,Igen,3940718,Igen,1,10
9.44,3,Growatt 10000 TL3-S,32,Igen,3983793,Igen,1,10
9.735,3,Growatt 10000 TL3-S,33,Igen,4139014,Igen,1,10
10.03,3,Growatt 10000 TL3-S,34,Igen,4182089,Igen,1,10
10.325,3,Growatt 10000 TL3-S,35,Igen,4352278,Igen,1,10
10.62,3,Growatt 10000 TL3-S,36,Igen,4395353,Igen,1,10
10.915,3,Growatt 10000 TL3-S,37,Igen,4490542,Igen,1,10
9.44,3,Growatt 11000 TL3-S,32,Igen,3997163,Igen,1,10
9.735,3,Growatt 11000 TL3-S,33,Igen,4152384,Igen,1,10
10.03,3,Growatt 11000 TL3-S,34,Igen,4195459,Igen,1,10
10.325,3,Growatt 11000 TL3-S,35,Igen,4365648,Igen,1,10
10.62,3,Growatt 11000 TL3-S,36,Igen,4408723,Igen,1,10
10.915,3,Growatt 11000 TL3-S,37,Igen,4503912,Igen,1,10
11.21,3,Growatt 11000 TL3-S,38,Igen,4546987,Igen,1,10
11.505,3,Growatt 11000 TL3-S,39,Igen,4628062,Igen,1,10
11.8,3,Growatt 11000 TL3-S,40,Igen,4671137,Igen,1,10
1.18,1,Growatt 1500-S,4,Nem,1239052,Nem,1,15
1.475,1,Growatt 1500-S,5,Igen,1376672,Nem,1,15
1.77,1,Growatt 1500-S,6,Igen,1419747,Nem,1,15
1.77,1,Growatt 2000-S,6,Igen,1448933,Nem,1,15
2.065,1,Growatt 2000-S,7,Igen,1524471,Nem,1,15
2.36,1,Growatt 3000-S,8,Nem,1598272,Nem,1,15
2.655,1,Growatt 3000-S,9,Igen,1675643,Igen,1,15
2.95,1,Growatt 3000-S,10,Igen,1718718,Igen,1,15
3.245,1,Growatt 3000-S,11,Igen,1886278,Igen,1,15
2.36,1,Growatt 2500 MTL-S,8,Igen,1672253,Nem,1,15
2.655,1,Growatt 2500 MTL-S,9,Igen,1749624,Igen,1,15
2.95,1,Growatt 2500 MTL-S,10,Igen,1792699,Igen,1,15
3.245,1,Growatt 2500 MTL-S,11,Nem,1960259,Igen,1,15
2.36,1,Growatt 3000 MTL-S,8,Nem,1688172,Nem,1,15
2.655,1,Growatt 3000 MTL-S,9,Igen,1765543,Nem,1,15
2.95,1,Growatt 3000 MTL-S,10,Igen,1808618,Igen,1,15
2.95,1,Growatt 3600 MTL-S,10,Igen,1840456,Igen,1,15
3.245,1,Growatt 3600 MTL-S,11,Igen,2008017,Igen,1,15
3.54,1,Growatt 3600 MTL-S,12,Igen,2051092,Igen,1,15
2.95,1,Growatt 4200 MTL-S,10,Nem,1860355,Igen,1,15
3.245,1,Growatt 4200 MTL-S,11,Nem,2027916,Igen,1,15
3.54,1,Growatt 4200 MTL-S,12,Igen,2070991,Igen,1,15
3.835,1,Growatt 4200 MTL-S,13,Igen,2143106,Igen,1,15
4.13,1,Growatt 4200 MTL-S,14,Igen,2186181,Igen,1,15
2.95,1,Growatt 5000 MTL-S,10,Nem,1871554,Igen,1,15
3.245,1,Growatt 5000 MTL-S,11,Nem,2039114,Igen,1,15
3.54,1,Growatt 5000 MTL-S,12,Nem,2082190,Igen,1,15
3.835,1,Growatt 5000 MTL-S,13,Igen,2154305,Igen,1,15
4.13,1,Growatt 5000 MTL-S,14,Igen,2197380,Igen,1,15
4.425,1,Growatt 5000 MTL-S,15,Igen,2321151,Igen,1,15
4.72,1,Growatt 5000 MTL-S,16,Igen,2364226,Igen,1,15
5.015,1,Growatt 5000 MTL-S,17,Igen,2476938,Igen,1,15
2.95,1,Growatt 5500 MTL-S,10,Nem,1899475,Igen,1,15
3.245,1,Growatt 5500 MTL-S,11,Nem,2067036,Igen,1,15
3.54,1,Growatt 5500 MTL-S,12,Nem,2110111,Igen,1,15
3.835,1,Growatt 5500 MTL-S,13,Nem,2182226,Igen,1,15
4.13,1,Growatt 5500 MTL-S,14,Igen,2225301,Igen,1,15
4.425,1,Growatt 5500 MTL-S,15,Igen,2349073,Igen,1,15
4.72,1,Growatt 5500 MTL-S,16,Igen,2392148,Igen,1,15
5.015,1,Growatt 5500 MTL-S,17,Igen,2504859,Igen,1,15
5.31,1,Growatt 5500 MTL-S,18,Igen,2547934,Igen,1,15
5.605,1,Growatt 5500 MTL-S,19,Igen,2687263,Igen,1,15
4.72,3,Growatt 5000 TL3-S,16,Igen,2470569,Igen,1,15
5.015,3,Growatt 5000 TL3-S,17,Igen,2583280,Igen,1,15
5.31,3,Growatt 5000 TL3-S,18,Igen,2626355,Igen,1,15
4.72,3,Growatt 6000 TL3-S,16,Nem,2491831,Igen,1,15
5.015,3,Growatt 6000 TL3-S,17,Igen,2604543,Igen,1,15
5.31,3,Growatt 6000 TL3-S,18,Igen,2647618,Igen,1,15
5.605,3,Growatt 6000 TL3-S,19,Igen,2786946,Igen,1,15
5.9,3,Growatt 6000 TL3-S,20,Igen,2830021,Igen,1,15
6.195,3,Growatt 6000 TL3-S,21,Igen,2943363,Igen,1,15
6.49,3,Growatt 6000 TL3-S,22,Igen,2986438,Igen,1,15
5.9,3,Growatt 7000 TL3-S,20,Igen,2921694,Igen,1,15
6.195,3,Growatt 7000 TL3-S,21,Igen,3035036,Igen,1,15
6.49,3,Growatt 7000 TL3-S,22,Igen,3078111,Igen,1,15
6.785,3,Growatt 7000 TL3-S,23,Igen,3159159,Igen,1,15
7.08,3,Growatt 7000 TL3-S,24,Igen,3202234,Igen,1,15
7.375,3,Growatt 7000 TL3-S,25,Igen,3346730,Igen,1,15
7.67,3,Growatt 7000 TL3-S,26,Igen,3389805,Igen,1,15
7.08,3,Growatt 8000 TL3-S,24,Igen,3228188,Igen,1,15
7.375,3,Growatt 8000 TL3-S,25,Igen,3372685,Igen,1,15
7.67,3,Growatt 8000 TL3-S,26,Igen,3415760,Igen,1,15
7.965,3,Growatt 8000 TL3-S,27,Igen,3519427,Igen,1,15
8.26,3,Growatt 8000 TL3-S,28,Igen,3562502,Igen,1,15
8.555,3,Growatt 8000 TL3-S,29,Igen,3644226,Igen,1,15
7.965,3,Growatt 9000 TL3-S,27,Igen,3552932,Igen,1,15
8.26,3,Growatt 9000 TL3-S,28,Igen,3596007,Igen,1,15
8.555,3,Growatt 9000 TL3-S,29,Igen,3677731,Igen,1,15
8.85,3,Growatt 9000 TL3-S,30,Igen,3720806,Igen,1,15
9.145,3,Growatt 9000 TL3-S,31,Igen,3941851,Igen,1,15
9.44,3,Growatt 9000 TL3-S,32,Igen,3984926,Igen,1,15
9.735,3,Growatt 9000 TL3-S,33,Igen,4140147,Igen,1,15
8.85,3,Growatt 10000 TL3-S,30,Igen,3719673,Igen,1,15
9.145,3,Growatt 10000 TL3-S,31,Igen,3940718,Igen,1,15
9.44,3,Growatt 10000 TL3-S,32,Igen,3983793,Igen,1,15
9.735,3,Growatt 10000 TL3-S,33,Igen,4139014,Igen,1,15
10.03,3,Growatt 10000 TL3-S,34,Igen,4182089,Igen,1,15
10.325,3,Growatt 10000 TL3-S,35,Igen,4352278,Igen,1,15
10.62,3,Growatt 10000 TL3-S,36,Igen,4395353,Igen,1,15
10.915,3,Growatt 10000 TL3-S,37,Igen,4490542,Igen,1,15
9.44,3,Growatt 11000 TL3-S,32,Igen,3997163,Igen,1,15
9.735,3,Growatt 11000 TL3-S,33,Igen,4152384,Igen,1,15
10.03,3,Growatt 11000 TL3-S,34,Igen,4195459,Igen,1,15
10.325,3,Growatt 11000 TL3-S,35,Igen,4365648,Igen,1,15
10.62,3,Growatt 11000 TL3-S,36,Igen,4408723,Igen,1,15
10.915,3,Growatt 11000 TL3-S,37,Igen,4503912,Igen,1,15
11.21,3,Growatt 11000 TL3-S,38,Igen,4546987,Igen,1,15
11.505,3,Growatt 11000 TL3-S,39,Igen,4628062,Igen,1,15
11.8,3,Growatt 11000 TL3-S,40,Igen,4671137,Igen,1,15
